,Price
1990-01-01,10.0
1990-02-01,10.045298198950803
1990-03-01,10.028828586799277
1990-04-01,10.2332902817599
1990-05-01,10.223122911391652
1990-06-01,10.241891698717906
1990-07-01,10.37849018808283
1990-08-01,10.31575159569433
1990-09-01,10.278420663059906
1990-10-01,10.30342892112687
1990-11-01,10.287039324504521
1990-12-01,10.201618155510776
1991-01-01,10.195228034663769
1991-02-01,10.17652171890367
1991-03-01,10.23479944711243
1991-04-01,10.111616364754694
1991-05-01,10.065602041739497
1991-06-01,10.167713322498471
1991-07-01,10.326299803076976
1991-08-01,10.215405438461907
1991-09-01,10.27699323933333
1991-10-01,10.208544608515838
1991-11-01,10.149996356138551
1991-12-01,10.090246021478098
1992-01-01,10.066445387145107
1992-02-01,10.156160573298175
1992-03-01,10.2231542749683
1992-04-01,10.237885814425823
1992-05-01,10.21882094414727
1992-06-01,10.229084051581998
1992-07-01,10.230609616217404
1992-08-01,10.304053881774362
1992-09-01,10.263528151390984
1992-10-01,10.273032558712123
1992-11-01,10.274947149767383
1992-12-01,10.280762497699234
1993-01-01,10.310699910384427
1993-02-01,10.336512717667826
1993-03-01,10.453300603607152
1993-04-01,10.456350555104942
1993-05-01,10.591273138580853
1993-06-01,10.576804896887522
1993-07-01,10.548586383505265
1993-08-01,10.566645438605493
1993-09-01,10.605080516393441
1993-10-01,10.636649508909176
1993-11-01,10.750006579580214
1993-12-01,10.851154017886236
1994-01-01,10.900709249735923
1994-02-01,10.883802349004998
1994-03-01,10.88575320130043
1994-04-01,11.008825042734172
1994-05-01,11.03652537256225
1994-06-01,10.94166352189187
1994-07-01,10.896498303328016
1994-08-01,10.860297244669503
1994-09-01,10.962473626299557
1994-10-01,10.963900507513625
1994-11-01,11.154709049411245
1994-12-01,11.21723860703208
1995-01-01,11.237223153058496
1995-02-01,11.212366839536216
1995-03-01,11.300141184310549
1995-04-01,11.290884292929423
1995-05-01,11.234954416656054
1995-06-01,11.290405034074524
1995-07-01,11.301425699411018
1995-08-01,11.406550557476981
1995-09-01,11.410663091977074
1995-10-01,11.19188805464727
1995-11-01,11.265037366981668
1995-12-01,11.124818096265887
1996-01-01,11.25791858789861
1996-02-01,11.413627766985336
1996-03-01,11.38946525611295
1996-04-01,11.306289103303719
1996-05-01,11.204523181330257
1996-06-01,11.284335551030404
1996-07-01,11.278166096820767
1996-08-01,11.240297302146995
1996-09-01,11.230823726047294
1996-10-01,11.407904901055112
1996-11-01,11.445658447222131
1996-12-01,11.515316603224727
1997-01-01,11.587469210514568
1997-02-01,11.678942901169604
1997-03-01,11.773851016264594
1997-04-01,11.727013700504916
1997-05-01,11.719798676311024
1997-06-01,11.668937851623369
1997-07-01,11.622044793358963
1997-08-01,11.723365412353736
1997-09-01,11.693224968578177
1997-10-01,11.696892859683524
1997-11-01,11.651466752323058
1997-12-01,11.613994530639609
1998-01-01,11.687053566122783
1998-02-01,11.661419166802894
1998-03-01,11.632849551866316
1998-04-01,11.68233416474243
1998-05-01,11.732373150942193
1998-06-01,11.805766960326723
1998-07-01,11.82942811652397
1998-08-01,11.699128847685806
1998-09-01,11.759552565812966
1998-10-01,11.809418902988986
1998-11-01,11.900869911754155
1998-12-01,11.843152422403893
1999-01-01,12.054817033136292
1999-02-01,11.96622614395203
1999-03-01,12.034382404807213
1999-04-01,12.048058822735396
1999-05-01,12.0190882110945
1999-06-01,12.09437879998703
1999-07-01,12.081864390290097
1999-08-01,11.905014644614583
1999-09-01,11.82163236863777
1999-10-01,11.868245014364675
1999-11-01,12.057282263303575
1999-12-01,11.948781527185494
2000-01-01,11.957425901767278
2000-02-01,12.083484585248764
2000-03-01,12.142034210780112
2000-04-01,12.121984543253827
2000-05-01,12.018230579325952
2000-06-01,11.88573847548539
2000-07-01,11.835906012500343
2000-08-01,11.816433250021536
2000-09-01,11.646503799746057
2000-10-01,11.521009796478682
2000-11-01,11.55530167370334
2000-12-01,11.532582286660318
2001-01-01,11.482195839427417
2001-02-01,11.459594306211242
2001-03-01,11.404584325322737
2001-04-01,11.488785621956096
2001-05-01,11.629981947253595
2001-06-01,11.805871189546137
2001-07-01,11.872655018329642
2001-08-01,11.942427225706417
2001-09-01,12.069474864080286
2001-10-01,12.2185507692193
2001-11-01,12.345767159973951
2001-12-01,12.4527498324175
2002-01-01,12.41197763244817
2002-02-01,12.294001752137111
2002-03-01,12.37417397711205
2002-04-01,12.376667381218766
2002-05-01,12.382213698443733
2002-06-01,12.321060039714801
2002-07-01,12.226983923579157
2002-08-01,12.349157253209224
2002-09-01,12.396365332706319
2002-10-01,12.321162723155759
2002-11-01,12.362396371799349
2002-12-01,12.396844385576015
2003-01-01,12.448592344801321
2003-02-01,12.637254009900913
2003-03-01,12.644477841802459
2003-04-01,12.55210798722129
2003-05-01,12.56503139854027
2003-06-01,12.523322871698365
2003-07-01,12.577208298646891
2003-08-01,12.604051695129154
